clients per round	16	16	16	16	16	16	16	16
local epochs	1	1	1	1	3	3	3	3
	round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)
1	15	0,34684	0,33728	0,26544	5	0,33053	0,3236	0,25305
2	30	0,37038	0,36181	0,28766	10	0,36377	0,3565	0,28812
3	45	0,38225	0,37056	0,29289	15	0,38779	0,37824	0,31669
4	60	0,39006	0,3827	0,29477	20	0,40413	0,39097	0,31711
5	75	0,40657	0,3984	0,30653	25	0,42572	0,42082	0,35496
6	90	0,42778	0,41867	0,32582	30	0,45132	0,44516	0,36901
7	105	0,44411	0,43096	0,33996	35	0,4605	0,44997	0,37234
8	120	0,45579	0,44155	0,34862	40	0,47069	0,45767	0,38512
9	135	0,46092	0,4459	0,36238	45	0,47666	0,46374	0,39586
10	150	0,4672	0,45191	0,35847	50	0,48289	0,47296	0,3765
11	165	0,4717	0,45585	0,36442	55	0,49102	0,48445	0,39107
12	180	0,47725	0,46263	0,37325	60	0,49659	0,48649	0,3966
13	195	0,47962	0,46821	0,36438	65	0,50999	0,49639	0,41755
14	210	0,48284	0,47016	0,37644	70	0,5162	0,49538	0,43433
15	225	0,49595	0,48023	0,38144	75	0,53155	0,50357	0,45674
16	240	0,50248	0,48384	0,39603	80	0,53373	0,50431	0,44838
17	255	0,51425	0,4871	0,40241	85	0,54127	0,51466	0,45396
18	270	0,52471	0,49589	0,42216	90	0,54004	0,51166	0,45531
19	285	0,53003	0,49697	0,4134	95	0,5458	0,51892	0,45149
20	300	0,53301	0,50081	0,41641	100	0,5465	0,51817	0,44132
