clients per round	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
local epochs	1	1	1	1	3	3	3	3	6	6	6	6	10	10	10	10
	round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)	round	mIoU (train)	mIoU (test same)	mIoU (test diff)
1	60	0,38027	0,37615	0,32338	20	0,36073	0,36109	0,29485	10	0,37157	0,37609	0,32013	5	0,357	0,3474	0,29627
2	120	0,42350	0,42420	0,34849	40	0,43023	0,43569	0,33631	20	0,43082	0,42858	0,36769	11	0,40987	0,40404	0,34436
3	180	0,46876	0,46521	0,37382	60	0,49155	0,47906	0,37413	30	0,4656	0,47009	0,38249	17	0,40733	0,40399	0,33299
4	240	0,47518	0,47859	0,37318	80	0,49032	0,47969	0,39218	40	0,48412	0,47749	0,40851	23	0,45282	0,44969	0,34769
5	300	0,51317	0,49154	0,41384	100	0,51549	0,48371	0,41934	50	0,5381	0,50282	0,45084	29	0,48798	0,47004	0,37333
6	360	0,54229	0,50535	0,45416	120	0,54397	0,51437	0,42893	60	0,54854	0,51791	0,44638	35	0,51846	0,48894	0,44114
7	420	0,55485	0,51399	0,43736	140	0,55264	0,51204	0,40499	70	0,55703	0,52401	0,44309	41	0,52876	0,49671	0,39967
8	480	0,54806	0,51769	0,44207	160	0,56977	0,5309	0,4416	80	0,56453	0,52617	0,43239	47	0,55177	0,52347	0,43126
9	540	0,56326	0,52226	0,45665	180	0,57508	0,53478	0,45213	90	0,5789	0,54028	0,45929	53	0,54352	0,51361	0,42501
10	600	0,57683	0,53583	0,45883	200	0,54797	0,51695	0,40231	100	0,55619	0,52754	0,43163	59	0,57177	0,53533	0,43756
11	660	0,57187	0,53659	0,44335	220	0,5846	0,54625	0,44059	110	0,58734	0,5415	0,43293	65	0,53827	0,49457	0,43063
12	720	0,58679	0,54176	0,45588	240	0,6025	0,5573	0,46306	120	0,588	0,55025	0,46056	71	0,57409	0,54066	0,45082
13	780	0,58564	0,54385	0,44943	260	0,60372	0,5637	0,46203	130	0,60012	0,55703	0,45654	77	0,58624	0,55097	0,44103
14	840	0,59812	0,54873	0,45964	280	0,60512	0,56194	0,46005	140	0,6029	0,56669	0,46508	83	0,57182	0,53526	0,42537
15	900	0,59107	0,55288	0,45231	300	0,58576	0,54263	0,42389	150	0,60739	0,56624	0,45574	89	0,59294	0,56076	0,43966
16	960	0,59601	0,54867	0,45373	320	0,59956	0,56311	0,44344	160	0,5974	0,56179	0,44983	95	0,5928	0,56398	0,46324
17	1020	0,58822	0,55339	0,45084	340	0,60239	0,55536	0,4387	170	0,61062	0,57242	0,47252	101	0,57941	0,54239	0,45123
18	1080	0,60188	0,56020	0,44082	360	0,61669	0,57517	0,46206	180	0,60881	0,57412	0,48169	107	0,59023	0,55263	0,45468
19	1140	0,60053	0,56118	0,45781	380	0,60249	0,56694	0,45317	190	0,61003	0,57948	0,48142	113	0,58623	0,54888	0,4322
20	1200	0,59551	0,55609	0,43253	400	0,59516	0,55384	0,44457	200	0,6166	0,57816	0,45176	120	0,5721	0,53486	0,44298
